['Tue Sep 21 07:54:24 2021', '001', 'flashcard-begin-session', '', '', '', '']
['Sat Jan  1 08:15:49 2022', '001', 'flashcard-begin-session', '', '', '', '']
['Sat Jan  1 08:15:51 2022', '001', 'flashcard', 'capitals of africa', 'Algeria', 'Algiers', 4]
['Sat Jan  1 08:15:53 2022', '001', 'flashcard', 'capitals of africa', 'Algeria', 'Algiers', 5]
['Sat Jan  1 08:15:55 2022', '001', 'flashcard', 'capitals of africa', 'Angola', 'Luanda', 3]
['Sat Jan  1 08:15:56 2022', '001', 'flashcard-end-session', '', '', '', '']
['Sat Jan  1 08:15:58 2022', '001', 'flashcard-begin-session', '', '', '', '']
['Sat Jan  1 08:15:59 2022', '001', 'flashcard-end-session', '', '', '', '']
['Sat Jan  1 08:16:57 2022', '001', 'flashcard-begin-session', '', '', '', '']
['Sat Jan  1 08:17:00 2022', '001', 'flashcard', 'capitals oceania', 'American Samoa', 'Pago Pago', 4]
['Sat Jan  1 08:17:03 2022', '001', 'flashcard', 'capitals oceania', 'American Samoa', 'Pago Pago', 4]
['Sat Jan  1 08:17:03 2022', '001', 'flashcard-end-session', '', '', '', '']
['Sat Jan  1 08:17:05 2022', '001', 'flashcard-begin-session', '', '', '', '']
['Sat Jan  1 08:17:08 2022', '001', 'flashcard', 'world capitals', 'Flag of Akrotiri.gif', 'Flag of Akrotiri', 1]
['Sat Jan  1 08:17:11 2022', '001', 'flashcard', 'world capitals', 'Flag of Akrotiri.gif', 'Flag of Akrotiri', 4]
['Sat Jan  1 08:17:13 2022', '001', 'flashcard', 'world capitals', 'Flag of Albania.gif', 'Flag of Albania', 2]
['Sat Jan  1 08:17:15 2022', '001', 'flashcard-end-session', '', '', '', '']
['Sat Jan  1 08:18:03 2022', '001', 'flashcard-begin-session', '', '', '', '']
['Sat Jan  1 08:18:06 2022', '001', 'flashcard', 'capitals oceania', 'American Samoa', 'Pago Pago', 3]
['Sat Jan  1 08:18:08 2022', '001', 'flashcard', 'capitals oceania', 'American Samoa', 'Pago Pago', 2]
['Sat Jan  1 08:18:10 2022', '001', 'flashcard', 'capitals oceania', 'Cook Islands', 'Avarua', 4]
['Sat Jan  1 08:18:13 2022', '001', 'flashcard', 'capitals oceania', 'Fiji', 'Suva', 4]
['Sat Jan  1 08:18:14 2022', '001', 'flashcard-end-session', '', '', '', '']
['Sat Jan  1 08:18:16 2022', '001', 'flashcard-begin-session', '', '', '', '']
['Sat Jan  1 08:18:17 2022', '001', 'flashcard', 'world capitals', 'Flag of Akrotiri.gif', 'Flag of Akrotiri', 3]
['Sat Jan  1 08:18:20 2022', '001', 'flashcard', 'world capitals', 'Flag of Akrotiri.gif', 'Flag of Akrotiri', 4]
['Sat Jan  1 08:18:22 2022', '001', 'flashcard', 'world capitals', 'Flag of Albania.gif', 'Flag of Albania', 1]
['Sat Jan  1 08:18:23 2022', '001', 'flashcard-end-session', '', '', '', '']
